elevation_ft,surface_area_acres,capacity_af
895,30200.0,2547000.0
896,30400.0,2577000.0
897,30600.0,2608000.0
898,30800.0,2638000.0
899,31000.0,2669000.0
900,31200.0,2700000.0
901,31400.0,2732000.0
902,31600.0,2763000.0
903,31900.0,2795000.0
904,32100.0,2827000.0
905,32400.0,2859000.0
906,32600.0,2892000.0
907,32800.0,2924000.0
908,33100.0,2957000.0
909,33300.0,2990000.0
910,33600.0,3024000.0
911,33800.0,3058000.0
912,34000.0,3091000.0
913,34300.0,3126000.0
914,34500.0,3160000.0
915,34700.0,3195000.0
916,35000.0,3230000.0
917,35200.0,3265000.0
918,35500.0,3300000.0
919,35700.0,3336000.0
920,35900.0,3371000.0
921,36200.0,3407000.0
922,36400.0,3444000.0
923,36600.0,3480000.0
924,36800.0,3517000.0
925,37100.0,3554000.0
926,37300.0,3591000.0
927,37500.0,3628000.0
928,37700.0,3666000.0
929,38000.0,3704000.0
930,38200.0,3742000.0
931,38400.0,3780000.0
932,38700.0,3819000.0
933,38900.0,3858000.0
934,39100.0,3897000.0
935,39400.0,3936000.0
936,39600.0,3975000.0
937,39800.0,4015000.0
938,40100.0,4055000.0
939,40300.0,4095000.0
940,40500.0,4136000.0
941,40800.0,4176000.0
942,41000.0,4217000.0
943,41200.0,4258000.0
944,41500.0,4300000.0
945,41700.0,4341000.0
946,41900.0,4383000.0
947,42200.0,4425000.0
948,42400.0,4467000.0
949,42600.0,4510000.0
950,42900.0,4553000.0
951,43100.0,4596000.0
952,43400.0,4639000.0
953,43600.0,4682000.0
954,43900.0,4726000.0
955,44200.0,4770000.0
956,44400.0,4814000.0
957,44700.0,4859000.0
958,44900.0,4904000.0
959,45200.0,4949000.0
960,45500.0,4994000.0
961,45700.0,5040000.0
962,45900.0,5086000.0
963,46200.0,5132000.0
964,46400.0,5178000.0
965,46700.0,5225000.0
966,46900.0,5271000.0
967,47100.0,5318000.0
968,47400.0,5366000.0
969,47600.0,5413000.0
970,47800.0,5461000.0
971,48100.0,5509000.0
972,48400.0,5557000.0
973,48700.0,5606000.0
974,48900.0,5654000.0
975,49200.0,5703000.0
976,49500.0,5753000.0
977,49700.0,5802000.0
978,50000.0,5852000.0
979,50300.0,5902000.0
980,50500.0,5953000.0
981,50800.0,6003000.0
982,51100.0,6054000.0
983,51400.0,6106000.0
984,51700.0,6157000.0
985,52000.0,6209000.0
986,52300.0,6261000.0
987,52600.0,6314000.0
988,52900.0,6366000.0
989,53200.0,6419000.0
990,53500.0,6473000.0
991,53800.0,6527000.0
992,54100.0,6580000.0
993,54400.0,6635000.0
994,54700.0,6689000.0
995,54900.0,6744000.0
