elevation_ft,surface_area_acres,capacity_af
3130,0.0,0.0
3131,0.0,0.0
3132,0.0,0.0
3133,1.0,1.0
3134,1.0,1.0
3135,1.0,2.0
3136,1.0,3.0
3137,1.0,4.0
3138,1.0,4.0
3139,1.0,5.0
3140,1.0,6.0
3141,1.0,7.0
3142,1.0,8.0
3143,1.0,8.0
3144,1.0,9.0
3145,1.0,10.0
3146,1.0,11.0
3147,1.0,12.0
3148,1.0,13.0
3149,1.0,14.0
3150,1.0,15.0
3151,1.0,16.0
3152,1.0,17.0
3153,1.0,18.0
3154,1.0,19.0
3155,1.0,20.0
3156,1.0,21.0
3157,1.0,22.0
3158,1.0,23.0
3159,1.0,24.0
3160,1.0,26.0
3161,1.0,27.0
3162,1.0,28.0
3163,1.0,29.0
3164,1.0,31.0
3165,1.0,32.0
3166,2.0,33.0
3167,2.0,35.0
3168,2.0,37.0
3169,2.0,38.0
3170,2.0,40.0
3171,2.0,42.0
3172,2.0,44.0
3173,2.0,45.0
3174,2.0,47.0
3175,2.0,49.0
3176,2.0,51.0
3177,2.0,53.0
3178,2.0,56.0
3179,2.0,58.0
3180,2.0,60.0
3181,2.0,62.0
3182,3.0,65.0
3183,3.0,68.0
3184,3.0,70.0
3185,3.0,73.0
3186,3.0,76.0
3187,4.0,79.0
3188,4.0,83.0
3189,6.0,89.0
3190,14.0,96.0
3191,135.0,154.0
3192,404.0,409.0
3193,687.0,962.0
3194,944.0,1789.0
3195,1146.0,2836.0
3196,1315.0,4066.0
3197,1464.0,5458.0
3198,1611.0,6998.0
3199,1775.0,8686.0
3200,1935.0,10546.0
3201,2064.0,12547.0
3202,2222.0,14688.0
3203,2358.0,16979.0
3204,2505.0,19409.0
3205,2659.0,21988.0
3206,2778.0,24710.0
3207,2888.0,27545.0
3208,2968.0,30473.0
3209,3041.0,33476.0
3210,3120.0,36556.0
3211,3212.0,39719.0
3212,3306.0,42977.0
3213,3414.0,46337.0
3214,3484.0,49788.0
3215,3543.0,53302.0
3216,3597.0,56872.0
3217,3652.0,60495.0
3218,3710.0,64175.0
3219,3775.0,67918.0
3220,3830.0,71721.0
3221,3874.0,75574.0
3222,3917.0,79469.0
3223,4000.0,83418.0
3224,4150.0,87486.0
3225,4451.0,91778.0
3226,4737.0,96377.0
3227,4885.0,101201.0
3228,4979.0,106136.0
3229,5057.0,111155.0
3230,5118.0,116243.0
3231,5186.0,121392.0
